burn_events,date,mint_events,net_liquidity_change,pool_address,swap_events,total_liquidity_added,total_liquidity_removed,total_trading_volume,liquidity_change,liquidity_change_rate,TVL_change_rate,fee_revenue,utilization_rate,health_score
271,2025-02-24 00:00:00+00:00,251,-605678485253902746,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,7791,82224.1595960247,82224.76527450995,213331.21738672617,-0.6056784852407873,,0.0,639.9936521601785,259.4507726620049,69.80609418282549
230,2025-02-23 00:00:00+00:00,211,869897777462517341,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,6254,65508.89304890363,65508.023151126166,129281.36271647626,0.8698977774620289,-243.62368792350307,-20.328899230159124,387.8440881494288,197.34933182272712,39.335180055401665
254,2025-02-22 00:00:00+00:00,265,-7280742462148687131,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,6361,88404.71914101258,88411.99988347472,102728.42344501324,-7.280742462142371,-936.9652907246536,34.95071436334114,308.1852703350397,116.20242046259229,57.61772853185596
262,2025-02-21 00:00:00+00:00,233,7585473208556050800,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,8285,70368.75313113593,70361.16765792738,203309.5296043308,7.585473208557232,-204.1854350431892,-20.401587364479767,609.9285888129924,288.92018198113107,58.448753462603875
275,2025-02-20 00:00:00+00:00,256,-1222398585377963614,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,5839,90904.64931778485,90905.87171637024,79960.04567151105,-1.2223985853925114,-116.11499443453988,29.183260002318324,239.88013701453315,87.96034776173703,48.476454293628805
242,2025-02-19 00:00:00+00:00,221,-170933373396590068,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,6601,64519.25901891945,64519.42995229285,84042.99833914408,-0.17093337339611026,-86.01655994707949,-29.025347434790973,252.12899501743223,130.2603278727977,14.40443213296399
246,2025-02-18 00:00:00+00:00,239,-2338077056455600786,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,8171,77746.93235805382,77749.27043511029,155836.33757593876,-2.3380770564690465,1267.829470638793,20.50189903026556,467.5090127278163,200.44049694237955,66.7590027700831
180,2025-02-17 00:00:00+00:00,191,-2621908223982556358687,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,6631,55798.04548808456,58419.95371206711,155455.9880118183,-2621.908223982551,112039.51296977975,-28.23119344295978,466.36796403545486,278.6047193086992,43.21329639889196
183,2025-02-16 00:00:00+00:00,173,2620837677525241033256,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,4636,62537.83606904376,59916.99839151852,44013.77155684624,2620.83767752524,-199.959169186491,12.078900832464567,132.04131467053872,70.37942839636094,29.916897506925206
195,2025-02-15 00:00:00+00:00,225,2816624429848800046,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,4947,76837.15725120777,76834.34062677794,39586.15694334211,2.8166244298336096,-99.89252961165862,22.86507190043656,118.75847083002633,51.51954908212052,35.18005540166205
201,2025-02-14 00:00:00+00:00,212,440234754608887919,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,7652,67859.06799179298,67858.62775703837,114105.42671053651,0.4402347546129022,-84.37012936655852,-11.684567181555462,342.3162801316096,168.15059517813694,38.78116343490305
234,2025-02-13 00:00:00+00:00,256,136699715783543582,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,7776,85530.90171743909,85530.7650177233,117628.76984920412,0.13669971578929108,-68.94844980844573,26.041963511469657,352.88630954761237,137.52780280255192,57.340720221606645
202,2025-02-12 00:00:00+00:00,219,2927809004397628580,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,8148,63529.03924107216,63526.111432067766,149665.77474457203,2.9278090043953853,2041.7813398444146,-25.72387527148088,448.9973242337161,235.58639723267154,41.27423822714682
219,2025-02-11 00:00:00+00:00,239,52700714578994912,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,7961,75116.26014979776,75116.20744908319,137706.93617573433,0.05270071457198355,-98.19999479157055,18.239250974276256,413.120808527203,183.3250695669852,61.21883656509696
213,2025-02-10 00:00:00+00:00,204,-2695158479890044356,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,7743,67053.76430986063,67056.45946834052,79971.67257979763,-2.6951584798807744,-5214.0833701590045,-10.733356298434982,239.91501773939288,119.26500085847877,27.42382271468144
246,2025-02-09 00:00:00+00:00,224,959227125931926147,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,7041,91027.39967944469,91026.44045231875,73744.86266491238,0.9592271259316476,-135.59075034333716,35.75285536364525,221.23458799473713,81.01391770456675,50.69252077562327
246,2025-02-08 00:00:00+00:00,228,-2552349263002021029,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,6595,90991.53303124358,90994.0853805066,56789.53970130124,-2.5523492630163673,-366.08393299317953,-0.03940203535134357,170.36861910390374,62.411894611998164,24.37673130193906
214,2025-02-07 00:00:00+00:00,232,2301641067417682661,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,9499,76196.31841364304,76194.01677257562,157205.99971848135,2.301641067417222,-190.177355457111,-16.25999049001663,471.61799915544407,206.31705440814767,46.53739612188366
213,2025-02-06 00:00:00+00:00,193,-1599331987333007182,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,10033,65429.090288246574,65430.68962023391,311769.77989301406,-1.5993319873377914,-169.48659415138417,-14.130903368513115,935.3093396790422,476.5002516763085,82.27146814404432
